Stock Name,Ticker
Indo Farm Equipment Limited,INDOFARMEQUIPMENTLIMITED.NS
Unimech Aerospace and Manufacturing Limited,UNIMECH
Carraro India Limited,CARRARO
Senores Pharmaceuticals Limited,SENORES
Ventive Hospitality Limited,VENTIVE
Concord Enviro Systems Limited,CEWATER
Sanathan Textiles Limited,SANATHAN
Mamata Machinery Limited,MAMATA
DAM Capital Advisors Limited,DAMCAPITAL
Transrail Lighting Limited,TRANSRAILL
International Gemmological Institute (India) Limited,INTERNATIONALGEMMOLOGICALINSTITUTE(INDIA)LIMITED.NS
Inventurus Knowledge Solutions Limited,IKS
One Mobikwik Systems Limited,MOBIKWIK
Sai Life Sciences Limited,SAILIFE
Vishal Mega Mart Limited,VMM
Property Share Investment Trust SM REIT,PROPERTYSHAREINVESTMENTTRUSTSMREIT.NS
Suraksha Diagnostic Limited,SURAKSHA
Enviro Infra Engineers Limited,EIEL
NTPC Green Energy Limited,NTPCGREEN
Zinka Logistics Solution Limited,ZINKALOGISTICSSOLUTIONLIMITED.NS
Niva Bupa Health Insurance Company Limited,NIVABUPA
ACME Solar Holdings Limited,ACMESOLAR
Swiggy Limited,SWIGGY
Sagility India Limited,SAGILITY
Afcons Infrastructure Limited,AFCONS
Godavari Biorefineries Limited,GODAVARIB
Deepak Builders & Engineers India Limited,DBEIL
Waaree Energies Limited,WAAREEENER
Hyundai Motor India Limited,HYUNDAI
Garuda Construction and Engineering Limited,GARUDA
Diffusion Engineers Limited,DIFFNKG
KRN Heat Exchanger and Refrigeration Limited,KRN
Manba Finance Limited,MANBA
Northern Arc Capital Limited,NORTHARC
Arkade Developers Limited,ARKADE
Western Carriers (India) Limited,WCIL
P N Gadgil Jewellers Limited,PNGJL
Kross Limited,KROSS
Tolins Tyres Limited,TOLINS
Bajaj Housing Finance Limited,BAJAJHFL
Shree Tirupati Balajee Agro Trading Company Limited,SHREETIRUPATIBALAJEEAGROTRADINGCOMPANYLIMITED.NS
Gala Precision Engineering Limited,GALAPREC
Baazar Style Retail Limited,STYLEBAAZA
ECOS (India) Mobility & Hospitality Limited,ECOSMOBLTY
Premier Energies Limited,PREMIERENE
Orient Technologies Limited,ORIENTTECH
Interarch Building Products Limited,INTERARCH
Saraswati Saree Depot Limited,SSDL
Unicommerce eSolutions Limited,UNIECOM
Brainbees Solutions Limited,FIRSTCRY
Ola Electric Mobility Limited,OLAELEC
Ceigall India Limited,CEIGALL
Akums Drugs and Pharmaceuticals Limited,AKUMS
Sanstar Limited,SANSTAR
Bansal Wire Industries Limited,BANSALWIRE
Emcure Pharmaceuticals Limited,EMCURE
Vraj Iron and Steel Limited,VRAJ
Allied Blenders and Distillers Limited,ABDL
Stanley Lifestyles Limited,STANLEY
Akme Fintrade India Ltd,AKMEFINTRADEINDIALTD.NS
DEE Development Engineers Limited,DEEDEV
Le Travenues Technology Ltd,LETRAVENUESTECHNOLOGYLTD.NS
Kronox Lab Sciences Limited,KRONOX
Awfis Space Solutions Limited,AWFIS
Go Digit General Insurance Limited,GODIGIT
Aadhar Housing Finance Limited,AADHARHFC
TBO Tek Limited,TBOTEK
Indegene Limited,INDGN
JNK India Limited,JNKINDIA
Vodafone Idea Limited FPO,VODAFONEIDEALIMITEDFPO.NS
Bharti Hexacom Limited,BHARTIHEXA
SRM Contractors Limited,SRM
Krystal Integrated Services Limited,KRYSTAL
Popular Vehicles & Services Limited,PVSL
Gopal Snacks Limited,GOPAL
JG Chemicals Limited,JGCHEMICALSLIMITED.NS
R K SWAMY Limited,RKSWAMY
Mukka Proteins Limited,MUKKA
Bharat Highways Infrastructure Investment Trust InvIT,BHARATHIGHWAYSINFRASTRUCTUREINVESTMENTTRUSTINVIT.NS
Exicom Tele-Systems Limited,EXICOM
Platinum Industries Limited,PLATIND
GPT Healthcare Limited,GPTHEALTH
Juniper Hotels Limited,JUNIPER
Vibhor Steel Tubes Limited,VSTL
Entero Healthcare Solutions Limited,ENTERO
Capital Small Finance Bank Limited,CAPITALSFB
Jana Small Finance Bank Limited,JSFB
Rashi Peripherals Limited,RPTECH
Apeejay Surrendra Park Hotels Limited,PARKHOTELS
BLS E-Services Limited,BLSE
Nova AgriTech Limited,NOVAAGRI
EPACK Durable Limited,EPACK
Medi Assist Healthcare Services Limited,MEDIASSIST
Jyoti CNC Automation Limited,JYOTICNC
